ID,Bathrooms,sqft_living,condition,grade,sqft_above,floors,Barata/Cara
257,1,1,2,2,1,2,Barato
258,3,3,2,3,3,3,Caro
259,3,3,2,3,1,2,Caro
260,1,1,2,1,1,2,Barato
261,1,1,2,2,1,3,Barato
262,3,3,3,3,3,3,Caro
263,3,3,3,3,3,3,Caro
264,2,1,2,3,1,3,Barato
265,1,1,3,1,1,2,Barato
266,1,1,3,1,1,2,Barato
267,3,3,3,3,1,2,Caro
268,3,1,3,2,1,2,Barato
269,3,1,2,2,3,3,Caro
270,1,1,1,2,1,2,Barato
271,1,1,3,2,1,2,Barato
272,3,1,2,3,1,2,Barato
273,3,3,3,3,3,3,Caro
274,3,3,3,3,1,2,Caro
275,3,3,2,3,3,3,Caro
276,2,3,2,2,3,3,Caro
277,3,3,2,3,3,3,Caro
278,3,3,2,3,3,3,Caro
279,3,3,2,3,3,3,Caro
280,3,3,2,3,3,3,Caro
281,3,3,2,3,3,3,Caro
282,3,3,2,3,3,3,Caro
