ID,Bathrooms,sqft_living,condition,grade,sqft_above,floors,Barata/Cara
100,3,3,3,3,3,3,3
101,3,3,2,3,3,3,3
102,3,3,3,3,3,3,1
103,3,3,2,2,1,2,3
104,3,1,3,2,1,2,3
105,3,3,3,3,3,3,3
106,3,3,3,3,1,2,1
107,3,3,2,3,3,3,1
108,3,3,2,3,3,3,3
109,3,1,3,3,1,2,1
110,3,3,2,3,1,2,3
111,3,3,3,3,3,3,3
112,2,1,3,1,1,2,1
113,3,1,3,3,1,3,3
114,3,1,3,2,1,2,1
115,3,3,2,3,3,3,3
116,3,3,2,3,3,2,3
117,1,1,2,1,1,2,3
118,1,1,3,1,1,2,3
119,3,3,2,3,3,3,3
120,1,1,3,1,1,2,1
121,3,1,3,3,3,3,1
122,3,3,3,3,1,2,1
123,3,3,3,3,3,3,1
124,2,1,3,2,1,2,1
125,3,3,2,3,3,3,3
126,3,1,2,2,1,2,1
127,3,3,3,3,3,3,3
128,3,3,3,3,1,2,1
129,1,1,3,1,1,2,3
130,3,3,2,3,3,3,1
131,3,1,2,2,1,3,3
132,3,3,3,2,3,3,1
133,1,3,3,2,1,2,3
134,1,1,2,1,1,2,1
135,1,1,3,1,1,2,3
136,3,3,2,3,3,3,1
137,1,1,3,1,1,2,3
138,3,1,3,2,1,2,1
139,3,1,3,3,1,3,3
140,3,3,3,3,3,3,3
141,3,1,3,2,1,2,1
142,3,1,3,2,1,3,3
143,3,3,3,3,3,3,1
144,3,3,3,3,3,3,1
145,3,1,3,2,1,2,1
146,2,1,3,2,1,2,1
147,1,1,3,2,1,2,3
148,3,1,2,2,3,3,1
149,3,1,2,2,1,2,1
150,3,1,3,3,3,2,3
151,3,1,3,3,3,3,1
152,1,1,3,2,1,2,1
153,3,3,3,3,3,3,1
154,3,1,3,2,1,3,3
155,1,1,3,2,1,2,1
156,3,3,2,3,3,3,1
157,3,3,3,3,1,2,1
158,3,1,3,3,1,3,3
159,1,1,2,1,1,2,1
160,3,1,3,3,1,3,1
161,1,1,3,2,1,2,1
162,3,3,2,3,3,3,3
163,3,3,2,3,3,3,3
164,1,1,3,2,1,2,3
165,1,1,3,1,1,2,3
166,1,1,3,3,1,2,3
167,3,3,2,3,3,2,3
168,3,3,3,3,1,3,1
169,2,1,3,3,1,2,1
170,1,1,2,2,1,2,1
171,1,1,3,3,1,2,1
172,3,3,2,3,3,3,1
173,3,3,3,3,3,3,1
174,3,1,3,3,3,3,3
175,3,3,3,3,3,3,1
176,3,3,3,3,3,3,1
177,3,3,3,3,3,3,1
178,3,3,3,3,3,3,1
179,3,1,2,1,1,2,1
180,3,3,2,3,3,3,1
181,3,3,2,3,3,3,1
182,1,1,2,1,1,2,3
183,3,1,3,3,3,3,1
184,1,1,2,2,1,3,1
185,3,1,3,1,1,2,1
186,3,3,3,3,1,2,1
187,3,1,3,3,3,3,1
188,2,1,3,1,1,2,3
189,3,3,3,3,3,3,3
190,3,1,3,3,3,3,1
191,3,3,2,3,3,3,1
192,3,3,2,3,3,3,3
193,3,1,3,2,1,2,3
194,1,1,3,2,1,2,1
195,3,1,3,3,1,2,1
196,3,1,2,3,1,3,1
197,1,1,3,3,1,2,3
198,3,3,2,3,3,3,3
199,3,1,3,2,1,2,1
200,3,1,3,2,1,3,3
201,2,3,3,2,1,2,1
202,1,1,2,2,1,2,3
203,1,1,3,2,1,3,3
204,3,3,3,3,3,3,1
205,3,3,2,3,3,3,1
206,3,1,3,3,1,2,3
207,3,3,3,3,3,3,1
208,3,3,3,2,1,2,1
209,3,3,3,3,1,3,3
210,3,3,2,3,3,3,3
211,3,1,2,2,1,2,3
212,3,3,3,3,1,2,1
213,1,1,2,2,1,2,3
214,3,1,3,3,1,2,3
215,3,1,2,2,3,3,1
216,3,1,3,3,3,3,1
217,3,1,3,2,1,3,3
218,3,3,3,3,3,3,1
219,3,3,3,3,3,3,1
220,1,1,3,2,1,2,3
221,3,3,2,3,3,3,1
222,3,3,3,3,3,3,3
223,3,1,3,2,1,2,3
224,3,1,3,3,1,3,1
225,3,3,3,3,3,3,1
226,3,3,3,3,1,2,3
227,3,3,2,3,3,3,3
228,3,3,2,3,3,3,1
229,3,3,3,3,3,3,1
230,1,1,3,2,1,2,3
231,1,1,3,2,1,2,1
232,3,1,3,2,1,2,1
233,1,1,3,3,3,2,1
234,3,1,3,3,1,2,3
235,3,1,2,2,1,2,1
236,3,3,2,3,3,3,3
237,3,3,3,1,1,2,1
238,3,1,3,1,1,2,1
239,3,1,3,2,1,2,1
240,3,1,2,2,1,2,1
241,3,1,3,2,3,3,3
242,3,3,3,3,3,3,1
243,3,3,3,3,1,2,1
244,3,3,2,3,3,3,3
245,3,1,3,2,1,2,1
246,3,3,2,3,3,3,3
247,3,3,3,3,3,3,1
248,3,3,3,2,3,3,1
249,3,1,2,1,1,2,1
250,3,3,2,3,3,3,1
251,3,1,3,3,1,2,1
252,3,1,3,3,3,3,1
253,3,3,3,3,3,3,3
254,3,1,2,3,1,3,3
255,3,3,2,2,3,3,1
256,3,3,3,3,3,3,1
257,1,1,2,2,1,2,1
258,3,3,2,3,3,3,1
259,3,3,2,3,1,2,3
260,1,1,2,1,1,2,3
261,1,1,2,2,1,3,1
262,3,3,3,3,3,3,1
263,3,3,3,3,3,3,1
264,2,1,2,3,1,3,1
265,1,1,3,1,1,2,3
266,1,1,3,1,1,2,3
267,3,3,3,3,1,2,1
268,3,1,3,2,1,2,3
269,3,1,2,2,3,3,1
270,1,1,1,2,1,2,1
271,1,1,3,2,1,2,1
272,3,1,2,3,1,2,3
273,3,3,3,3,3,3,3
274,3,3,3,3,1,2,3
275,3,3,2,3,3,3,3
276,2,3,2,2,3,3,3
277,3,3,2,3,3,3,3
278,3,3,2,3,3,3,3
279,3,3,2,3,3,3,3
280,3,3,2,3,3,3,3
281,3,3,2,3,3,3,3
282,3,3,2,3,3,3,3
